item,freq
10,16069
11,15855
12,14526
9,13000
13,12296
8,11125
14,10078
15,7820
16,6184
7,5863
17,4720
6,4492
18,3930
19,2915
20,2376
21,1874
22,1468
23,1286
5,1140
24,973
25,845
26,684
27,567
29,417
28,416
30,376
31,263
32,249
33,235
34,177
36,133
35,131
37,109
38,109
39,97
41,74
43,65
40,62
42,48
4,40
45,37
44,34
48,33
46,31
52,26
47,24
50,23
53,16
49,15
51,15
55,13
59,13
57,10
60,9
56,8
54,7
67,6
58,6
72,6
62,5
65,4
61,4
64,4
71,3
76,3
69,3
66,3
68,3
78,2
63,2
77,2
70,2
1,2
74,1
75,1
82,1
79,1
81,1
