vocab,freq
呗,147841
花,105654
还,56672
借,49030
我,46913
的,42606
了,39545
用,37042
钱,35620
不,34952
咋,34052
吗,29603
啥,27100
是,24460
期,24092
额,23734
能,23368
可,23204
以,22798
款,20676
付,20469
为,20370
#,17425
分,16382
度,16019
开,14995
没,14905
支,14086
通,13517
有,12748
在,11846
时,11358
宝,11110
提,10389
到,10369
一,10342
账,9020
收,8666
要,7972
费,7840
退,7648
使,7449
前,7253
后,7198
卡,7030
会,6823
个,6696
号,6656
信,6627
手,6512
里,6116
现,5920
码,5856
扣,5714
示,5614
商,5406
逾,5369
行,5336
间,5086
关,4955
*,4911
动,4677
机,4593
几,4583
显,4555
银,4549
已,4500
单,4474
上,4466
自,4354
请,4270
这,4046
么,4025
余,3997
息,3907
次,3898
买,3805
消,3785
申,3686
$,3616
办,3555
最,3490
想,3450
清,3425
就,3346
闭,3346
才,3292
和,3280
经,3260
换,3219
哪,3150
定,3057
金,2953
都,2943
日,2926
贷,2877
面,2842
回,2802
绑,2763
影,2732
利,2723
网,2703
家,2702
只,2701
响,2694
低,2678
但,2675
取,2639
淘,2636
过,2599
证,2558
临,2549
续,2518
何,2443
完,2423
之,2414
看,2388
下,2384
户,2368
改,2336
成,2310
来,2233
查,2220
人,2191
复,2146
限,2129
给,2116
把,2063
持,2057
录,1991
每,1975
出,1950
二,1893
交,1855
算,1841
恢,1839
去,1821
需,1813
升,1809
东,1805
那,1775
多,1774
话,1772
西,1739
冻,1735
结,1703
再,1697
记,1689
充,1644
也,1637
功,1630
月,1624
另,1624
电,1617
除,1551
转,1520
刚,1517
别,1504
说,1480
法,1446
车,1438
购,1394
帮,1373
全,1367
从,1351
被,1337
无,1314
新,1301
意,1299
好,1298
果,1295
如,1292
更,1287
高,1275
找,1266
直,1264
店,1248
设,1247
嘛,1223
当,1210
事,1203
份,1181
你,1178
置,1175
解,1169
思,1168
身,1167
天,1152
货,1152
免,1138
样,1136
变,1129
对,1118
密,1102
降,1082
验,1059
未,1047
然,1024
积,1020
点,1018
否,1011
进,1000
件,998
登,988
又,975
让,969
服,967
帐,956
票,951
包,949
本,943
问,936
笔,935
负,924
部,922
知,919
超,914
系,913
方,912
短,911
