item,freq
呗,189858
花,135916
么,74910
还,72150
借,62704
我,60230
款,55920
的,55046
用,47202
*,45492
不,44948
怎,39716
吗,38018
什,32992
是,31592
期,30968
额,30498
能,29700
可,29442
以,29006
有,27598
付,26174
为,25926
蚁,25554
蚂,25552
分,21780
度,20742
开,19260
没,19162
支,18026
钱,17874
通,17432
一,17170
个,17136
在,15212
宝,14324
提,13414
到,13278
时,12726
号,12372
月,12100
多,11598
账,11574
收,11086
要,10290
费,9984
退,9938
后,9618
前,9614
 ,9500
使,9416
卡,9070
会,8826
手,8328
信,8180
里,7906
码,7524
现,7480
扣,7270
示,7246
少,7190
这,7100
天,7084
商,7058
行,6806
上,6412
关,6380
逾,6158
动,5984
机,5932
显,5830
银,5816
单,5800
已,5758
如,5690
自,5614
请,5264
余,5142
息,5024
次,4958
何,4940
候,4932
买,4922
消,4884
样,4846
下,4802
办,4672
申,4560
最,4422
清,4416
想,4412
就,4384
闭,4330
才,4306
过,4168
经,4168
和,4160
日,4152
换,4110
哪,4048
定,3886
金,3764
贷,3742
都,3714
面,3666
家,3538
影,3518
网,3514
绑,3510
回,3506
利,3496
响,3464
淘,3456
低,3456
但,3442
取,3432
只,3424
临,3352
证,3272
户,3184
完,3184
续,3170
看,3096
之,3058
几,3026
改,2936
查,2902
成,2890
结,2840
来,2826
给,2790
人,2744
复,2664
限,2664
持,2640
把,2618
出,2550
每,2546
录,2526
去,2476
久,2432
东,2388
算,2386
需,2372
交,2342
升,2310
西,2302
恢,2288
再,2272
那,2240
冻,2224
点,2168
话,2160
记,2136
功,2116
电,2096
也,2086
充,2058
另,2038
刚,2026
说,1952
除,1940
别,1926
转,1916
法,1896
间,1894
份,1844
车,1792
意,1774
全,1772
两,1766
帮,1730
二,1726
无,1726
被,1718
元,1714
果,1704
嘛,1698
从,1696
直,1690
今,1684
购,1678
高,1668
设,1656
找,1630
店,1628
思,1610
啥,1608
新,1604
当,1592
更,1586
置,1580
好,1564
货,1542
事,1540
变,1534
？,1534
免,1516
解,1440
身,1436
密,1420
明,1418
对,1394
验,1364
降,1358
未,1356
然,1350
十,1326
否,1320
件,1312
本,1298
服,1280
让,1278
进,1272
又,1272
你,1268
积,1236
问,1236
登,1234
票,1218
帐,1214
笔,1212
包,1204
系,1198
超,1194
短,1182
负,1180
麻,1162
打,1150
知,1150
欠,1142
品,1138
认,1136
外,1120
物,1112
部,1108
调,1106
值,1098
脸,1088
扫,1082
重,1076
够,1074
条,1072
方,1054
吧,1048
长,1048
选,1046
权,1042
入,1038
芝,1022
己,1012
接,988
小,984
红,984
中,982
同,980
年,968
制,966
询,960
友,942
原,940
得,936
按,934
客,918
务,914
刷,910
押,908
先,900
他,886
发,882
注,880
维,878
三,876
订,872
合,870
双,864
加,864
掉,860
晚,850
生,844
授,832
跟,830
迟,828
道,826
总,826
足,824
删,824
第,810
性,802
易,802
因,796
滴,784
确,776
延,772
卖,764
错,754
数,754
实,750
代,744
咋,744
醒,744
主,744
失,742
修,734
险,726
统,720
停,716
情,712
返,710
忘,708
起,694
作,692
些,692
销,690
活,684
应,672
领,658
微,654
该,654
朋,648
与,648
六,646
大,642
常,638
符,632
存,618
线,616
安,614
式,610
口,600
们,600
产,598
！,596
评,594
万,592
体,592
核,590
昨,584
放,582
却,582
百,580
券,580
审,576
块,572
择,572
预,566
其,564
兑,562
资,562
操,560
估,554
理,544
整,540
剩,538
于,538
美,534
共,530
抽,530
缴,530
页,526
风,524
奖,520
暂,518
名,514
识,510
弄,508
约,502
减,500
火,496
正,494
团,492
满,492
败,482
继,476
邮,474
优,470
见,464
处,464
忙,454
市,452
所,448
题,444
计,442
享,436
千,430
况,426
比,426
业,414
p,406
级,402
老,400
半,400
而,396
或,392
a,388
率,386
等,386
联,384
细,382
学,380
推,380
始,378
五,378
铺,372
项,372
切,362
涨,362
透,358
子,356
誉,356
脑,352
突,350
必,348
照,346
快,346
贴,346
油,344
做,342
零,338
首,336
邀,334
须,334
心,334
储,332
填,326
边,326
蓄,324
猫,324
繁,320
九,320
公,316
历,312
讯,310
、,308
津,308
q,306
贝,306
您,304
它,302
启,298
底,298
流,296
区,296
册,294
叫,292
水,288
碑,288
冲,282
马,282
陆,280
很,280
谢,278
衣,276
政,276
惠,274
并,274
张,274
受,266
工,266
将,264
太,262
尽,258
永,254
者,254
量,250
输,250
求,248
地,246
s,244
封,244
致,242
格,242
送,240
料,240
向,236
房,234
员,232
周,232
签,232
营,230
差,224
内,218
执,214
增,214
随,214
善,212
拜,210
游,210
午,208
境,208
酒,208
顾,206
且,204
具,202
卷,200
丢,200
着,198
试,198
儿,196
戏,196
传,194
般,194
保,194
写,194
击,194
运,194
o,190
摩,190
箱,190
标,188
拿,188
移,186
抵,186
租,182
住,180
诉,180
立,180
效,178
价,178
越,178
近,178
顺,176
干,174
撤,172
固,170
连,170
早,170
像,170
序,168
止,162
达,160
搞,158
留,158
唄,158
补,152
良,152
带,152
烦,148
反,148
违,148
任,144
咨,142
四,142
